사용처,scene_id,순서,화자,대화내용,배경이미지,효과,타입,파일경로
ep1_briefing,briefing,1,NARRATOR,작전 브리핑을 시작합니다. 목표: 지구 궤도 정찰 및 생존자 신호 추적.,bg_command.jpg,,DIALOGUE,assets\data\episodes\ep1\ep1.json
,,2,ARTEMIS,3년 만에 돌아온 고향이야. 어떤 모습일지...,,,,
ep1_opening,opening,1,NARRATOR,지구 궤도 진입 완료. 대기권 오염도 치명적 수준입니다.,bg_ruins.jpg,,DIALOGUE,assets\data\episodes\ep1\ep1.json
,,2,PILOT,3년 만이야... 이게 우리가 떠났던 그 푸른 행성이라고?,,,,
,,3,ARTEMIS,감상에 젖을 시간 없어. 생존자 신호에 집중해.,,,,
,,4,PILOT,안드로메다인들은 왜 우리를 구한 걸까? 멸망한 종족에게 뭘 기대하는 거지?,,,,
,,5,ARTEMIS,글쎄. 하지만 이유가 뭐든 난 이 기회를 낭비할 생각 없어.,,,,
,,6,NARRATOR,경고. 카이론 순찰대 접근. 전투 준비를 권고합니다.,,,,
,,7,ARTEMIS,"좋아, 시작하자. 지구는 아직 끝나지 않았어.",,,,
,,8,PILOT,...우리가 마지막이라니. 무거운 짐이군.,,,,
ep1_mid_01,mid_01,1,ARTEMIS,첫 번째 파도를 물리쳤다. 하지만 끝이 아니야.,bg_ruins.jpg,,DIALOGUE,assets\data\episodes\ep1\ep1.json
,,2,PILOT,추가 적 부대 감지! 더 많은 카이론이 오고 있어!,,,,
,,3,NARRATOR,경고. 대형 함선 접근 중. 정찰대 지휘관으로 추정됩니다.,,,,
,,4,ARTEMIS,"지휘관이라... 좋아, 한 번에 정리하자.",,,,
ep1_memory,memory,1,ARTEMIS,...우리 가족. 집 앞 작은 정원에서 찍은 사진이야.,bg_cemetery.jpg,,DIALOGUE,assets\data\episodes\ep1\ep1.json
,,2,ARTEMIS,"그날, 하늘이 갈라졌어. 불기둥이 내려왔고...",,,,
,,3,ARTEMIS,"모든 게 사라졌어. 사람들도, 도시도, 희망도.",,,,
,,4,PILOT,아르테미스...,,,,
,,5,ARTEMIS,괜찮아. 이제는 복수할 힘이 있으니까.,,,,
ep1_boss,boss,1,NARRATOR,경고. 대형 적 반응. 섀도우 스카웃 지휘관입니다.,bg_ruins.jpg,,DIALOGUE,assets\data\episodes\ep1\ep1.json
,,2,ARTEMIS,드디어 진짜 상대가 나타났군.,,,,
,,3,PILOT,조심해! 일반 카이론과는 비교도 안 되는 화력이야!,,,,
ep1_boss_victory,boss_victory,1,PILOT,해냈어! 지휘관을 격추했다!,bg_ruins.jpg,,DIALOGUE,assets\data\episodes\ep1\ep1.json
,,2,ARTEMIS,첫 번째 승리야. 하지만 이건 시작일 뿐이야.,,,,
ep1_ending,ending,1,NARRATOR,적 섬멸 확인. 지역 확보 완료.,bg_ruins.jpg,,DIALOGUE,assets\data\episodes\ep1\ep1.json
,,2,PILOT,해냈어... 3년 만에 처음으로 승리다.,,,,
,,3,ARTEMIS,아직 시작일 뿐이야. 하지만 좋은 출발이군.,,,,
,,4,NARRATOR,생존자 신호 분석 완료. 다음 좌표로 이동 권장합니다.,,,,
,,5,ARTEMIS,알았어. 기지로 복귀하자. 다음 작전을 준비해야 해.,,,,
ep2_briefing,briefing,1,NARRATOR,새로운 좌표 분석 완료. 구 서울 지역에서 생체 신호 포착.,bg_command.jpg,,DIALOGUE,assets\data\episodes\ep2\ep2.json
,,2,ARTEMIS,서울이라... 그 도시는 침공 첫날에 완전히 파괴됐어.,,,,
ep2_opening,opening,1,NARRATOR,미약한 생체 신호 포착. 좌표 전송 중입니다.,bg_bunker.jpg,,DIALOGUE,assets\data\episodes\ep2\ep2.json
,,2,ARTEMIS,저기... 저건 서울 타워잖아. 기억나?,,,,
,,3,PILOT,첫 번째 대피소가 무너진 날... 우리가 겨우 탈출했던 곳.,,,,
,,4,ARTEMIS,"그날 밤, 하늘이 불타올랐지. 사람들의 비명 소리가...",,,,
,,5,PILOT,"아르테미스, 그만. 지금은 앞만 봐야 해.",,,,
,,6,ARTEMIS,...미안. 가끔 그때가 떠올라서.,,,,
,,7,NARRATOR,인간의 기억은 생존에 필수적 요소입니다. 억압하지 마십시오.,,,,
,,8,PILOT,"고마워, 철학자 양반. 근데 지금은 싸울 때야.",,,,
,,9,ARTEMIS,기억은 짐이 아니야. 우리가 왜 싸우는지 알려주는 거니까.,,,,
ep2_mid_01,mid_01,1,PILOT,적 반응 증가! 우리를 포위하려는 거야!,bg_bunker.jpg,,DIALOGUE,assets\data\episodes\ep2\ep2.json
,,2,ARTEMIS,포위당하기 전에 돌파하자!,,,,
ep2_document,document,1,ARTEMIS,이건... 정부 기밀 문서야?,bg_gate.jpg,,DIALOGUE,assets\data\episodes\ep2\ep2.json
,,2,PILOT,카이론 침공 전에 작성된 거야. 누군가 알고 있었어.,,,,
,,3,ARTEMIS,게이트... 그들은 게이트를 통해 왔어. 우리가 열어준 게이트를.,,,,
ep2_boss,boss,1,NARRATOR,대형 적 반응 감지. 헌터급 카이론입니다.,bg_bunker.jpg,,DIALOGUE,assets\data\episodes\ep2\ep2.json
,,2,ARTEMIS,헌터... 저놈들은 생존자를 추적하는 특화형이야.,,,,
ep2_ending,ending,1,NARRATOR,적 섬멸 완료. 문서 데이터 저장됨.,bg_bunker.jpg,,DIALOGUE,assets\data\episodes\ep2\ep2.json
,,2,PILOT,이 문서들... 누구에게 전해야 하지?,,,,
,,3,ARTEMIS,일단 기지로 가져가자. 진실은 언젠가 밝혀질 거야.,,,,
ep3_briefing,briefing,1,NARRATOR,이전 전투에서 격추된 적 기체의 잔해 발견. 데이터 코어 반응 확인.,bg_command.jpg,,DIALOGUE,assets\data\episodes\ep3\ep3.json
,,2,ARTEMIS,적의 데이터... 본진 위치가 있을 수도 있어.,,,,
ep3_opening,opening,1,NARRATOR,격추된 적 기체 잔해 발견. 데이터 코어 반응이 있습니다.,bg_bunker.jpg,,DIALOGUE,assets\data\episodes\ep3\ep3.json
,,2,ARTEMIS,저거 아까 우리가 떨어뜨린 놈이네.,,,,
,,3,PILOT,데이터 코어가 살아있다고? 뭐가 들었을까.,,,,
,,4,NARRATOR,접근 시 자폭 장치 작동 가능성이 있습니다.,,,,
,,5,PILOT,그럼 원격으로 뽑아낼 수 있어?,,,,
,,6,ARTEMIS,내가 직접 가야 해. 원격으론 암호 못 뚫어.,,,,
,,7,PILOT,혼자? 말도 안 돼.,,,,
,,8,ARTEMIS,5분이면 돼. 그동안 하늘 좀 지켜줘.,,,,
,,9,PILOT,...3분. 그 이상은 안 돼.,,,,
,,10,ARTEMIS,충분해. 저 안에 카이론 본진 위치가 있을 수도 있어.,,,,
ep3_mid_01,mid_01,1,ARTEMIS,데이터 추출 중... 50% 완료...,bg_bunker.jpg,,DIALOGUE,assets\data\episodes\ep3\ep3.json
,,2,PILOT,서둘러! 적 증원 부대가 오고 있어!,,,,
ep3_hologram,hologram,1,NARRATOR,손상된 홀로그램 기록 재생 중...,bg_lab_fire.jpg,,DIALOGUE,assets\data\episodes\ep3\ep3.json
,,2,ARTEMIS,이건... 카이론의 통신 기록이야?,,,,
,,3,PILOT,좌표가 있어! 하지만 암호화되어 있어.,,,,
ep3_boss,boss,1,NARRATOR,경고. 추적자급 카이론 출현.,bg_bunker.jpg,,DIALOGUE,assets\data\episodes\ep3\ep3.json
,,2,ARTEMIS,추적자... 데이터를 지키러 온 거야!,,,,
ep3_ending,ending,1,NARRATOR,데이터 추출 완료. 암호 해독 필요.,bg_bunker.jpg,,DIALOGUE,assets\data\episodes\ep3\ep3.json
,,2,ARTEMIS,이 데이터... 기지에서 분석해야 해.,,,,
,,3,PILOT,본진 위치를 알아낼 수 있을까?,,,,
,,4,ARTEMIS,분명히. 우리가 한 발 앞서가고 있어.,,,,
ep4_briefing,briefing,1,NARRATOR,"블랙박스 데이터 분석 결과, 적 기지 추정 좌표 확보.",bg_command.jpg,,DIALOGUE,assets\data\episodes\ep4\ep4.json
,,2,ARTEMIS,드디어... 놈들의 본거지를 찾을 수 있어.,,,,
ep4_opening,opening,1,NARRATOR,경고. 다방향 적 반응. 포위 형태입니다.,bg_bunker.jpg,,DIALOGUE,assets\data\episodes\ep4\ep4.json
,,2,PILOT,"아르테미스, 나와! 지금 당장!",,,,
,,3,ARTEMIS,70%... 조금만 더!,,,,
,,4,PILOT,"위에서 8기, 왼쪽에서 5기, 뒤에서 더 온다!",,,,
,,5,NARRATOR,탈출 경로 분석 중입니다. 12시 방향 돌파 가능성 31%.,,,,
,,6,ARTEMIS,됐어! 데이터 확보!,,,,
,,7,PILOT,이제 나와!,,,,
,,8,ARTEMIS,"잠깐, 이거... 카이론 본진이 아니야. 이건...",,,,
,,9,PILOT,나중에 말해! 지금은 빠져나가는 게 먼저야!,,,,
,,10,ARTEMIS,...알았어. 가자.,,,,
,,11,PILOT,12시 방향으로 뚫는다. 준비해.,,,,
ep4_mid_01,mid_01,1,ARTEMIS,막고 있는 놈들을 처리해!,bg_bunker.jpg,,DIALOGUE,assets\data\episodes\ep4\ep4.json
,,2,PILOT,포위망이 좁혀오고 있어! 서둘러!,,,,
ep4_mirror,mirror,1,ARTEMIS,이 데이터... 카이론 본진이 아니야.,bg_lab_fire.jpg,,DIALOGUE,assets\data\episodes\ep4\ep4.json
,,2,PILOT,뭐라고? 그럼 뭔데?,,,,
,,3,ARTEMIS,게이트 연구 시설... 인간이 만든 거야. 우리가.,,,,
,,4,PILOT,말도 안 돼...,,,,
ep4_boss,boss,1,NARRATOR,퇴로 차단. 수호자급 카이론 확인.,bg_bunker.jpg,,DIALOGUE,assets\data\episodes\ep4\ep4.json
,,2,ARTEMIS,뚫어야 해. 다른 방법은 없어!,,,,
ep4_ending,ending,1,NARRATOR,포위망 이탈 성공. 추적 기체 소실.,bg_bunker.jpg,,DIALOGUE,assets\data\episodes\ep4\ep4.json
,,2,PILOT,휴... 살았다.,,,,
,,3,ARTEMIS,이 데이터... 진실을 밝혀야 해.,,,,
,,4,PILOT,인간이 게이트를 열었다고? 우리가 카이론을 불러들인 거야?,,,,
,,5,ARTEMIS,아직 확실하지 않아. 더 조사해야 해.,,,,
ep5_briefing,briefing,1,NARRATOR,최종 좌표 분석 완료. 게이트 연구 시설 위치 확인.,bg_command.jpg,,DIALOGUE,assets\data\episodes\ep5\ep5.json
,,2,ARTEMIS,모든 것의 시작점... 드디어 진실을 알 수 있어.,,,,
ep5_opening,opening,1,NARRATOR,적 밀집도 높습니다. 충돌 회피 최우선.,bg_bunker.jpg,,DIALOGUE,assets\data\episodes\ep5\ep5.json
,,2,PILOT,잡아! 흔들린다!,,,,
,,3,ARTEMIS,앞에 두 기 막고 있어!,,,,
,,4,PILOT,알아! 사이로 빠진다!,,,,
,,5,NARRATOR,선체 접촉 경고. 좌현 손상입니다.,,,,
,,6,ARTEMIS,괜찮아! 계속 가!,,,,
,,7,PILOT,거의 다 왔어... 조금만...!,,,,
,,8,NARRATOR,포위망 이탈 확인. 추적 기체 4기입니다.,,,,
,,9,ARTEMIS,4기면 상대할 수 있어.,,,,
,,10,PILOT,그래. 이제 반격이다.,,,,
,,11,ARTEMIS,그나저나 그 데이터... 카이론 본진이 아니라 뭐였어?,,,,
,,12,PILOT,돌아가면서 보자. 지금은 앞에 집중.,,,,
ep5_mid_01,mid_01,1,ARTEMIS,시설이 보인다... 아직 작동 중이야?,bg_bunker.jpg,,DIALOGUE,assets\data\episodes\ep5\ep5.json
,,2,PILOT,방어 시스템이 활성화됐어! 조심해!,,,,
ep5_starmap,starmap,1,ARTEMIS,이건... 별의 지도야. 카이론의 고향이 표시되어 있어.,bg_gate.jpg,,DIALOGUE,assets\data\episodes\ep5\ep5.json
,,2,PILOT,저 좌표... 우리 은하 바깥이야?,,,,
,,3,ARTEMIS,게이트는 그곳으로 통하는 문이었어. 우리가 열어버린 문.,,,,
,,4,NARRATOR,추가 데이터 발견. 게이트 폐쇄 프로토콜이 존재합니다.,,,,
,,5,ARTEMIS,폐쇄할 수 있다고? 그럼 아직 희망이...,,,,
ep5_boss,boss,1,NARRATOR,경고. 최상위급 적 반응. 오버로드 카이론입니다.,bg_gate.jpg,,DIALOGUE,assets\data\episodes\ep5\ep5.json
,,2,ARTEMIS,시설을 지키는 거야... 끝까지 갈 거야!,,,,
,,3,PILOT,마지막 관문이다. 모든 걸 쏟아붓자!,,,,
ep5_ending,ending,1,NARRATOR,최상위급 적 섬멸. 시설 접근 가능.,bg_gate.jpg,,DIALOGUE,assets\data\episodes\ep5\ep5.json
,,2,PILOT,해냈어... 드디어 진실에 도달했어.,,,,
,,3,ARTEMIS,게이트 폐쇄 프로토콜... 이걸로 놈들을 막을 수 있어.,,,,
,,4,NARRATOR,프로토콜 실행에는 시설 내부 접근이 필요합니다.,,,,
,,5,ARTEMIS,가자. 이 전쟁을 끝내러.,,,,
,,6,PILOT,"함께 가자, 아르테미스. 처음부터 끝까지.",,,,
ep5_epilogue,epilogue,1,NARRATOR,지구 해방 작전 1단계 완료. 다음 단계: 게이트 폐쇄.,bg_gate.jpg,,DIALOGUE,assets\data\episodes\ep5\ep5.json
,,2,NARRATOR,"인류의 마지막 희망, 그 여정은 계속됩니다.",,,,
EARTH_BEAUTY_color_names,color_names,1,NARRATOR,[지구 궤도 비행 중 - 복원된 지구의 봄 풍경이 스크린에 투영된다],bg_spring_cherry.jpg,,REFLECTION,assets\data\dialogues\reflection\earth_beauty.json
,,2,ARTEMIS,"...파일럿, 저것 봐. 저 분홍색... 벚꽃이야. 10년 전에도 이맘때쯤 피었었어.",,,,
,,3,PILOT,분홍색... 안드로메다에는 없는 파장이야. 우리 별에서는 저 색을 표현하는 단어조차 없었어.,,,,
,,4,ARTEMIS,뭐? 분홍색이라는 말이 없었다고?,,,,
,,5,PILOT,"정확히는, 필요가 없었지. 우리 행성에는 저런 색을 가진 것이 존재하지 않으니까.",,,,
,,6,ARTEMIS,그럼... 처음 봤을 때 어땠어? 지구의 벚꽃을.,,,,
,,7,PILOT,...혼란스러웠다. 내 시각 체계가 인식하지 못한 새로운 정보였으니까. 하지만 동시에...,,,,
,,8,ARTEMIS,동시에?,,,,
,,9,PILOT,'아름답다'는 감정이 먼저 왔어. 이름보다 먼저. 정의보다 먼저. 가슴이 먼저 반응했지.,,,,
,,10,ARTEMIS,"...그게 감정이야, 파일럿. 언어보다 빠른 것. 이름 없이도 존재하는 것.",,,,
,,11,PILOT,"지구인들은 놀라워. 이 수많은 색들에 전부 이름을 붙였잖아. 분홍, 연분홍, 살구색, 복숭아색...",,,,
,,12,ARTEMIS,그건 우리가 그만큼 색을 사랑하기 때문이야. 사랑하는 것에는 이름을 붙이고 싶잖아.,,,,
,,13,PILOT,...색깔의 이름. 사랑의 또 다른 형태구나. 지구에서 배운 것 중 가장 아름다운 개념 중 하나야.,,,,
EARTH_BEAUTY_cloud_shapes,cloud_shapes,1,NARRATOR,[지구 대기권 상공 - 푸른 하늘에 흰 구름이 떠다닌다],bg_summer_sky.jpg,,REFLECTION,assets\data\dialogues\reflection\earth_beauty.json
,,2,ARTEMIS,"파일럿, 저 구름 봐! 토끼 같지 않아?",,,,
,,3,PILOT,"...분석 중. 수증기 밀도 분포 불균일, 형태 불규칙—",,,,
,,4,ARTEMIS,"아니, 분석 말고! 그냥 봐. 귀 두 개, 동그란 꼬리. 토끼야!",,,,
,,5,PILOT,...토끼? 너희 행성의 포유류 중 하나지. 하지만 구름은 단순히 응결된 수분 입자인데...,,,,
,,6,ARTEMIS,그게 중요한 게 아니야. 구름을 보고 상상하는 거야. 저건 뭐 같아 보여?,,,,
,,7,PILOT,...불규칙한 수증기 덩어리로 보여.,,,,
,,8,ARTEMIS,"(한숨) 좋아, 다시. 분석하지 말고, 느껴봐. 저 구름이 뭘 닮았어?",,,,
,,9,PILOT,...,,,,
,,10,PILOT,...우주선? 안드로메다의 순양함 형태와 67% 유사...,,,,
,,11,ARTEMIS,"(웃음) 거봐, 됐잖아! 파일럿은 뭘 봐도 우주선이 생각나는구나.",,,,
,,12,PILOT,이것이... 상상력인가? 존재하지 않는 것을 보는 능력?,,,,
,,13,ARTEMIS,"아니, 존재하는 것 너머를 보는 능력이야. 구름에서 토끼를 보고, 별에서 이야기를 보고.",,,,
,,14,PILOT,...안드로메다에서는 이런 능력을 '오류'라고 불렀어. 하지만 지금은...,,,,
,,15,ARTEMIS,지금은?,,,,
,,16,PILOT,'선물'이라고 부르고 싶어. 현실 너머를 볼 수 있다는 것. 그것이 희망의 시작이니까.,,,,
EARTH_BEAUTY_rain_smell,rain_smell,1,NARRATOR,[지구 표면 착륙 - 부슬부슬 비가 내리기 시작한다],bg_autumn_rain.jpg,,REFLECTION,assets\data\dialogues\reflection\earth_beauty.json
,,2,ARTEMIS,...비 냄새가 나.,,,,
,,3,PILOT,비에 냄새가 있어? 물은 무취 아닌가?,,,,
,,4,ARTEMIS,그냥 물이 아니야. 비가 땅에 닿을 때 나는 냄새. '페트리코르'라고 해.,,,,
,,5,PILOT,"페트리코르... 분석해볼게. 토양 박테리아 분비물, 식물 오일, 오존의 혼합...",,,,
,,6,ARTEMIS,"파일럿, 그건 성분이야. 냄새 자체가 아니고.",,,,
,,7,PILOT,차이가 있어?,,,,
,,8,ARTEMIS,물론이지. 이 냄새를 맡으면... 기억이 떠올라. 엄마랑 비 오는 날 창가에 앉아있던 것. 따뜻한 코코아 향. 포근한 담요.,,,,
,,9,PILOT,...냄새가 기억을 불러온다고?,,,,
,,10,ARTEMIS,응. 냄새는 뇌의 가장 오래된 부분과 연결되어 있어. 감정과 기억의 중심부.,,,,
,,11,PILOT,안드로메다인에게 후각은... 위험 탐지용이야. 감정과 연결된 적이 없어.,,,,
,,12,ARTEMIS,그래서 네가 비의 냄새에서 아무것도 느끼지 못한 거구나.,,,,
,,13,PILOT,...아니. 지금은 느껴져. 네가 말하는 '포근함'이라는 감정이. 너와 함께 비를 맞으며.,,,,
,,14,ARTEMIS,(미소) 파일럿... 너 정말 많이 변했어.,,,,
,,15,PILOT,지구가 나를 바꿨어. 아니... 네가 나를 바꿨어. 비의 냄새를 기억으로 만드는 법을.,,,,
EARTH_BEAUTY_why_stars_beautiful,why_stars_beautiful,1,NARRATOR,"[지구 밤하늘 - 맑은 겨울밤, 별들이 쏟아질 듯 빛난다]",bg_winter_night.jpg,,REFLECTION,assets\data\dialogues\reflection\earth_beauty.json
,,2,ARTEMIS,별이 쏟아지는 것 같아... 너무 아름다워.,,,,
,,3,PILOT,...이해가 안 돼.,,,,
,,4,ARTEMIS,뭐가?,,,,
,,5,PILOT,"왜 지구인들은 별을 '아름답다'고 표현하지? 객관적으로 별은 핵융합 반응 중인 가스 덩어리야. 위험하고, 뜨겁고, 파괴적이야.",,,,
,,6,ARTEMIS,그건... 과학적 사실이지. 하지만 우리가 보는 건 다른 거야.,,,,
,,7,PILOT,무엇을?,,,,
,,8,ARTEMIS,"가능성. 저 별 하나하나가 어떤 세계를 품고 있을지, 어떤 이야기가 펼쳐지고 있을지... 상상하게 되잖아.",,,,
,,9,PILOT,하지만 그건 사실이 아니야. 대부분의 별은 생명이 없어.,,,,
,,10,ARTEMIS,알아. 그래서 더 아름다운 거야. 저 광활한 우주에서 우리가 존재한다는 것. 저 수십억 개의 불꽃 중에 생명이 있는 곳이 있다는 것.,,,,
,,11,PILOT,희소성이 아름다움을 만든다고?,,,,
,,12,ARTEMIS,"그것도 있지. 하지만 더 중요한 건... 별을 볼 수 있다는 것 자체가 기적이야. 눈이 있고, 마음이 있고, 함께 올려다볼 누군가가 있다는 것.",,,,
,,13,PILOT,...함께 올려다볼 누군가.,,,,
,,14,ARTEMIS,"응. 혼자 보는 별은 그냥 빛이야. 하지만 누군가와 함께 보면... 추억이 되고, 약속이 되고, 희망이 돼.",,,,
,,15,PILOT,"...10년 전, 폐허에서 널 구하던 밤에도 별이 떠 있었어. 그때는 그냥 항법용 기준점이었는데...",,,,
,,16,ARTEMIS,지금은?,,,,
